timestamp,datetime,rank,symbol,volume_24h,price,change_24h_pct,funding_rate_pct,open_interest
1762783645.873205,2025-11-10 10:07:25,1,ZEC,402777922,623.670000,2.13,-0.0035,568411
1762783645.873205,2025-11-10 10:07:25,2,HYPE,350436883,41.854000,3.96,0.0013,20813861
1762783645.873205,2025-11-10 10:07:25,3,XRP,122059186,2.547200,11.78,0.0013,36024362
1762783645.873205,2025-11-10 10:07:25,4,XPL,103469447,0.314540,5.60,0.0013,301464012
1762783645.873205,2025-11-10 10:07:25,5,LTC,91027514,106.980000,1.12,0.0013,522108
1762783645.873205,2025-11-10 10:07:25,6,PUMP,90076723,0.004532,16.56,0.0013,29007092806
1762783645.873205,2025-11-10 10:07:25,7,NEAR,82588436,2.837500,3.17,0.0013,20364100
1762783645.873205,2025-11-10 10:07:25,8,FARTCOIN,79607061,0.335820,7.59,0.0013,170664103
1762783645.873205,2025-11-10 10:07:25,9,STRK,65100897,0.188030,34.70,0.0013,265657382
1762783645.873205,2025-11-10 10:07:25,10,DOGE,64460716,0.182050,3.34,0.0013,321539142
1762783645.873205,2025-11-10 10:07:25,11,ASTER,50165979,1.106200,-0.41,0.0013,129199650
1762783645.873205,2025-11-10 10:07:25,12,BNB,42227154,998.250000,1.17,-0.0014,52578
1762783645.873205,2025-11-10 10:07:25,13,TRUMP,41927183,8.668200,15.61,0.0013,5777640
1762783645.873205,2025-11-10 10:07:25,14,WLFI,35984501,0.163050,32.49,-0.0021,123664886
1762783645.873205,2025-11-10 10:07:25,15,ENA,35851370,0.345780,8.49,0.0013,210244410
1762783900.8453481,2025-11-10 10:11:40,1,ZEC,404027413,624.130000,2.21,-0.0025,568625
1762783900.8453481,2025-11-10 10:11:40,2,HYPE,350925911,42.004000,4.33,0.0013,20810011
1762783900.8453481,2025-11-10 10:11:40,3,XRP,122172144,2.553700,12.06,0.0013,36023596
1762783900.8453481,2025-11-10 10:11:40,4,XPL,103516177,0.315160,5.81,0.0013,301433198
1762783900.8453481,2025-11-10 10:11:40,5,LTC,91137609,106.960000,1.11,0.0013,521629
1762783900.8453481,2025-11-10 10:11:40,6,PUMP,90188901,0.004554,17.13,0.0013,29014787758
1762783900.8453481,2025-11-10 10:11:40,7,NEAR,82732581,2.847900,3.54,0.0013,20326271
1762783900.8453481,2025-11-10 10:11:40,8,FARTCOIN,79682694,0.336690,7.87,0.0013,170611592
1762783900.8453481,2025-11-10 10:11:40,9,STRK,65280039,0.189290,35.60,0.0013,265825284
1762783900.8453481,2025-11-10 10:11:40,10,DOGE,64488936,0.182370,3.52,0.0013,321448316
1762783900.8453481,2025-11-10 10:11:40,11,ASTER,50476194,1.112400,0.15,0.0013,129401792
1762783900.8453481,2025-11-10 10:11:40,12,BNB,42241311,1000.000000,1.35,-0.0014,52583
1762783900.8453481,2025-11-10 10:11:40,13,TRUMP,42177479,8.667600,15.60,0.0013,5770988
1762783900.8453481,2025-11-10 10:11:40,14,WLFI,36036323,0.164250,33.46,-0.0026,123752220
1762783900.8453481,2025-11-10 10:11:40,15,ENA,35870232,0.347040,8.89,0.0013,210215014
1762784170.492125,2025-11-10 10:16:10,1,ZEC,405834340,619.350000,1.43,-0.0022,569459
1762784170.492125,2025-11-10 10:16:10,2,HYPE,351491124,41.800000,3.83,0.0013,20805182
1762784170.492125,2025-11-10 10:16:10,3,XRP,122297103,2.550200,11.91,0.0013,36043080
1762784170.492125,2025-11-10 10:16:10,4,XPL,103600883,0.313010,5.09,0.0013,301154086
1762784170.492125,2025-11-10 10:16:10,5,PUMP,93865125,0.004489,15.46,0.0013,28337626722
1762784170.492125,2025-11-10 10:16:10,6,LTC,91318416,106.630000,0.79,0.0013,521109
1762784170.492125,2025-11-10 10:16:10,7,NEAR,83454701,2.829500,2.88,0.0013,20037734
1762784170.492125,2025-11-10 10:16:10,8,FARTCOIN,79917315,0.335170,7.38,0.0013,171101019
1762784170.492125,2025-11-10 10:16:10,9,STRK,65375968,0.190160,36.23,0.0015,265738694
1762784170.492125,2025-11-10 10:16:10,10,DOGE,64520019,0.181950,3.28,0.0013,321332146
1762784170.492125,2025-11-10 10:16:10,11,ASTER,50560737,1.104600,-0.55,0.0013,129410518
1762784170.492125,2025-11-10 10:16:10,12,TRUMP,42349919,8.655100,15.43,0.0013,5750177
1762784170.492125,2025-11-10 10:16:10,13,BNB,42261712,998.600000,1.21,-0.0015,52596
1762784170.492125,2025-11-10 10:16:10,14,WLFI,36096671,0.163640,32.96,-0.0049,123856194
1762784170.492125,2025-11-10 10:16:10,15,ENA,35899845,0.345350,8.36,0.0013,210171374
1762784223.910395,2025-11-10 10:17:03,1,ZEC,406215124,617.580000,1.14,-0.0022,569006
1762784223.910395,2025-11-10 10:17:03,2,HYPE,351842581,41.770000,3.75,0.0013,20811613
1762784223.910395,2025-11-10 10:17:03,3,XRP,122317357,2.547200,11.78,0.0013,36047172
1762784223.910395,2025-11-10 10:17:03,4,XPL,103740630,0.312510,4.92,0.0013,301779300
1762784223.910395,2025-11-10 10:17:03,5,PUMP,93979081,0.004489,15.46,0.0013,28330816488
1762784223.910395,2025-11-10 10:17:03,6,LTC,91365291,106.490000,0.66,0.0013,521704
1762784223.910395,2025-11-10 10:17:03,7,NEAR,83536299,2.824400,2.69,0.0013,20013551
1762784223.910395,2025-11-10 10:17:03,8,FARTCOIN,79930684,0.334160,7.06,0.0013,171100417
1762784223.910395,2025-11-10 10:17:03,9,STRK,65519353,0.188160,34.79,0.0013,265059239
1762784223.910395,2025-11-10 10:17:03,10,DOGE,64527739,0.181760,3.17,0.0013,321317544
1762784223.910395,2025-11-10 10:17:03,11,ASTER,50592938,1.102500,-0.74,0.0013,129392308
